name,id,sis_id,section,section_id,section_sis_id,submitted,attempt,3360577: What is your preferred time of day,1,3360579: Preferred mode of communication,1,n correct,n incorrect,score
Alessia Pernice,270286,510414807,Group Work Assessments Playground,225239,,2024-07-02 02:24:44 UTC,1,"A.Morning,B.Noon",0,A.In-person,1,1,1,1
Brandon,,510414808,,,,,,"A.Morning,B.Noon",,A.In-person,,,,
Dylan,,510414809,,,,,,"A.Morning,D.Evening ",,A.In-person,,,,
Mo,,510414810,,,,,,"B.Noon,C.Night,D.Evening",,A.In-person,,,,
Idraki,,510414811,,,,,,"B.Noon, C.Night, D.Evening",,A.In-person,,,,
Kaylee,,510414812,,,,,,A.Morning,,C.Online,,,,
Queena,,510414813,,,,,,B.Noon,,C.Online,,,,
Anita ,,510414814,,,,,,C.Night,,B.Both In-person and Online,,,,
Sama,,510414815,,,,,,"C.Night, D.Evening",,B.Both In-person and Online,,,,
Colin,,510414816,,,,,,"A.Morning,B.Noon,C.Night,D.Evening",,B.Both In-person and Online,,,,
Matthew ,,510414817,,,,,,"A.Morning,B.Noon,D.Evening",,B.Both In-person and Online,,,,
Yvette ,,510414818,,,,,,"B.Noon,C.Night,D.Evening",,B.Both In-person and Online,,,,
Jeanette,,510414819,,,,,,"B.Noon,C.Night,D.Evening",,B.Both In-person and Online,,,,
Gian,,510414820,,,,,,"B.Noon,C.Night,D.Evening",,B.Both In-person and Online,,,,
Ryan,,510414821,,,,,,"B.Noon, C.Night, D.Evening",,B.Both In-person and Online,,,,
Crystal,,510414822,,,,,,A.Morning,,B.Both In-person and Online,,,,
Lexi,,510414823,,,,,,B.Noon,,A.In-person,,,,
Isabella ,,510414824,,,,,,C.Night,,C.Online,,,,
Anand ,,510414825,,,,,,"C.Night, D.Evening",,C.Online,,,,
Oscar ,,510414826,,,,,,"A.Morning,B.Noon,C.Night,D.Evening",,B.Both In-person and Online,,,,
Sam ,,510414827,,,,,,"A.Morning,B.Noon,D.Evening",,A.In-person,,,,
Lincoln,,510414828,,,,,,"B.Noon,C.Night,D.Evening",,C.Online,,,,
